id,actual,predict
1567,23.222655,23.15169427
1569,23.08313,23.10073112
1571,22.943604,23.01513834
1573,22.804079,22.81263357
1575,22.664554,22.73521777
1576,22.594791,22.65032362
1577,22.525029,22.45571396
1582,23.571468,23.45358027
1583,23.64123,23.71132633
1585,21.827403,21.96597084
1587,22.245978,22.19194003
1589,22.106453,22.176216
1590,22.036691,22.176216
1602,38.849476,38.85271407
1604,24.687669,24.62764427
1607,24.896957,25.03613262
1608,24.96672,25.03647761
1610,25.106245,25.03648198
1611,25.176007,25.03699147
1612,29.082713,29.05876563
1616,28.664137,28.59439805
1619,28.7339,28.81886566
1620,28.803662,28.87342501
1623,38.640188,38.56995004
1628,37.942562,38.00682127
1629,34.733483,34.66989579
1632,38.291375,38.24085571
1634,37.314699,37.38178926
1641,37.523987,37.45802576
1647,25.24577,25.37083547
1649,34.873008,34.80299595
1650,34.942771,35.0447425
1655,35.012533,35.08229662
1656,36.26826,36.30670927
1658,36.128735,36.05708075
1661,25.315533,25.39200222
1666,35.919447,35.90598346
1668,35.152059,35.08231523
1669,35.710159,35.67998402
1678,35.431109,35.43595847
1687,34.593958,34.65333983
1692,34.245145,34.24309166
1699,33.966094,34.00225809
1704,33.756807,33.76881823
1706,32.919656,32.80889205
1710,32.989418,33.05942098
1712,27.338648,27.27738558
1715,27.40841,27.41658473
1721,9.758474,9.828232504
1722,9.688711,9.549676681
1728,10.037524,9.967757091
1732,9.13061,9.200662573
1734,8.153934,8.084000021
1742,32.849893,32.77708905
1745,14.083755,14.153517
1749,14.013992,13.874467
1750,21.75764,21.68787801
1753,13.94423,13.874467
1759,14.641855,14.57217631
1760,21.47859,21.408827
1768,15.060431,14.98568075
1772,15.130194,15.19964516
1776,32.640605,32.71400076
1780,9.060848,8.90481342
1784,10.595625,10.665388
1788,8.363222,8.488599305
1792,8.781797,8.863666511
1801,21.199539,21.13133199
1803,32.291792,32.23026773
1811,15.897582,15.96731988
1817,10.804913,10.874675
1820,20.920489,20.99025218
1821,16.246395,16.26099466
1823,20.850726,20.70978909
1832,11.014201,10.944438
1834,11.083963,10.944438
1835,20.432151,20.53214506
1836,11.153726,11.223488
1840,11.432776,11.50249391
1846,32.012742,31.97449436
1854,31.524404,31.46970494
1856,16.874259,16.89060967
1861,30.61749,30.6094482
1866,19.87405,19.80725327
1878,19.455475,19.48972593
1879,18.897374,18.81308153
1886,17.292834,17.22307136
